250010010-1,1,Impasse du Charron,25320,Abbans-Dessous,OSM,47.13435,5.873964
250010010-1B,1BIS,Impasse du Charron,25320,Abbans-Dessous,OSM,47.13403,5.873658
250010010-3,3,Impasse du Charron,25320,Abbans-Dessous,OSM,47.134095,5.873587
250010015-1,1,Rue des Coulets,25320,Abbans-Dessous,OSM,47.133779,5.873891
250010015-2,2,Rue des Coulets,25320,Abbans-Dessous,OSM,47.133953,5.873786
250010015-3,3,Rue des Coulets,25320,Abbans-Dessous,OSM,47.133932,5.873679
250010015-4,4,Rue des Coulets,25320,Abbans-Dessous,OSM,47.134252,5.87349
250010015-5,5,Rue des Coulets,25320,Abbans-Dessous,OSM,47.133982,5.873573
250010015-6,6,Rue des Coulets,25320,Abbans-Dessous,OSM,47.134322,5.873497
250010015-7,7,Rue des Coulets,25320,Abbans-Dessous,OSM,47.134076,5.873381
250010015-8,8,Rue des Coulets,25320,Abbans-Dessous,OSM,47.134394,5.873504
250010015-9,9,Rue des Coulets,25320,Abbans-Dessous,OSM,47.1332,5.871687
250010016-1,1,Impasse des Cyprès,25320,Abbans-Dessous,BAN,47.133433,5.876822
250010016-3,3,Impasse des Cyprès,25320,Abbans-Dessous,BAN,47.133657,5.87713
250010020-1,1,Rue Jouffroy d'Abbans,25320,Abbans-Dessous,OSM,47.135903,5.876433
250010020-10,10,Rue Jouffroy d'Abbans,25320,Abbans-Dessous,BAN,47.135255,5.875014
250010020-10B,10BIS,Rue Jouffroy d'Abbans,25320,Abbans-Dessous,OSM,47.135318,5.875071
250010020-11,11,Rue Jouffroy d'Abbans,25320,Abbans-Dessous,OSM,47.133367,5.874068
250010020-11A,11 a,Rue Jouffroy d'Abbans,25320,Abbans-Dessous,BAN,47.133048,5.873903
250010020-12,12,Rue Jouffroy d'Abbans,25320,Abbans-Dessous,OSM,47.135154,5.874879
250010020-13,13,Rue Jouffroy d'Abbans,25320,Abbans-Dessous,OSM,47.132765,5.873727
250010020-14,14,Rue Jouffroy d'Abbans,25320,Abbans-Dessous,BAN,47.13499,5.874687
250010020-16,16,Rue Jouffroy d'Abbans,25320,Abbans-Dessous,OSM,47.134845,5.874571
250010020-18,18,Rue Jouffroy d'Abbans,25320,Abbans-Dessous,OSM,47.134492,5.874448
250010020-1A,1 a,Rue Jouffroy d'Abbans,25320,Abbans-Dessous,BAN,47.135891,5.876482
250010020-1B,1 b,Rue Jouffroy d'Abbans,25320,Abbans-Dessous,BAN,47.136005,5.87598
250010020-1C,1 c,Rue Jouffroy d'Abbans,25320,Abbans-Dessous,BAN,47.135835,5.875779
250010020-1D,1 d,Rue Jouffroy d'Abbans,25320,Abbans-Dessous,BAN,47.135665,5.875607
250010020-2,2,Rue Jouffroy d'Abbans,25320,Abbans-Dessous,OSM,47.136118,5.876023
250010020-20,20,Rue Jouffroy d'Abbans,25320,Abbans-Dessous,OSM,47.134294,5.874333
250010020-22,22,Rue Jouffroy d'Abbans,25320,Abbans-Dessous,OSM,47.133989,5.874148
250010020-24,24,Rue Jouffroy d'Abbans,25320,Abbans-Dessous,OSM,47.133794,5.874106
250010020-26,26,Rue Jouffroy d'Abbans,25320,Abbans-Dessous,BAN,47.133458,5.873993
250010020-3,3,Rue Jouffroy d'Abbans,25320,Abbans-Dessous,OSM,47.134968,5.874787
250010020-30,30,Rue Jouffroy d'Abbans,25320,Abbans-Dessous,OSM,47.1332,5.873865
250010020-32,32,Rue Jouffroy d'Abbans,25320,Abbans-Dessous,OSM,47.132838,5.873669
250010020-34,34,Rue Jouffroy d'Abbans,25320,Abbans-Dessous,OSM,47.13266,5.873554
250010020-36,36,Rue Jouffroy d'Abbans,25320,Abbans-Dessous,BAN,47.132477,5.87339
250010020-4,4,Rue Jouffroy d'Abbans,25320,Abbans-Dessous,OSM,47.136052,5.875931
250010020-5,5,Rue Jouffroy d'Abbans,25320,Abbans-Dessous,OSM,47.134134,5.874312
250010020-6,6,Rue Jouffroy d'Abbans,25320,Abbans-Dessous,OSM,47.135706,5.875536
250010020-7,7,Rue Jouffroy d'Abbans,25320,Abbans-Dessous,OSM,47.133581,5.874148
250010020-8,8,Rue Jouffroy d'Abbans,25320,Abbans-Dessous,OSM,47.135445,5.875226
250010020-9,9,Rue Jouffroy d'Abbans,25320,Abbans-Dessous,OSM,47.133478,5.874134
250010025-1,1,Chemin du Lieu Dieu,25320,Abbans-Dessous,OSM,47.13654,5.87628
250010025-2,2,Chemin du Lieu Dieu,25320,Abbans-Dessous,OSM,47.136255,5.876293
250010025-3,3,Chemin du Lieu Dieu,25320,Abbans-Dessous,OSM,47.13649,5.875462
250010025-4,4,Chemin du Lieu Dieu,25320,Abbans-Dessous,OSM,47.139076,5.877633
250010034-1,1,Impasse du Mottier,25320,Abbans-Dessous,BAN,47.135442,5.876104
250010034-3,3,Impasse du Mottier,25320,Abbans-Dessous,BAN,47.135109,5.875683
250010034-3B,3 bis,Impasse du Mottier,25320,Abbans-Dessous,BAN,47.134777,5.875385
250010034-5,5,Impasse du Mottier,25320,Abbans-Dessous,BAN,47.13466,5.875207
250010034-5B,5BIS,Impasse du Mottier,25320,Abbans-Dessous,OSM,47.134283,5.875373
250010035-1,1,Chemin du Moulin,25320,Abbans-Dessous,OSM,47.132506,5.873839
250010035-2,2,Chemin du Moulin,25320,Abbans-Dessous,BAN,47.132419,5.873832
250010035-2B,2 bis,Chemin du Moulin,25320,Abbans-Dessous,BAN,47.132556,5.873635
250010035-3,3,Chemin du Moulin,25320,Abbans-Dessous,OSM,47.132212,5.876383
250010040-1,1,Impasse du Puits,25320,Abbans-Dessous,OSM,47.132824,5.873442
250010040-2,2,Impasse du Puits,25320,Abbans-Dessous,OSM,47.132854,5.873236
250010041-11,11,Rue des Perrières,25320,Abbans-Dessous,BAN,47.133386,5.876543
250010041-13,13,Rue des Perrières,25320,Abbans-Dessous,BAN,47.133156,5.877314
250010041-15,15,Rue des Perrières,25320,Abbans-Dessous,BAN,47.133169,5.878728
250010041-1A,1 a,Rue des Perrières,25320,Abbans-Dessous,BAN,47.13387,5.875088
250010041-1B,1 b,Rue des Perrières,25320,Abbans-Dessous,BAN,47.133941,5.875169
250010041-1C,1 c,Rue des Perrières,25320,Abbans-Dessous,BAN,47.133995,5.874918
250010041-2,2,Rue des Perrières,25320,Abbans-Dessous,BAN,47.133739,5.874401
250010041-3,3,Rue des Perrières,25320,Abbans-Dessous,BAN,47.133712,5.875321
250010041-4,4,Rue des Perrières,25320,Abbans-Dessous,BAN,47.133656,5.874634
250010041-5,5,Rue des Perrières,25320,Abbans-Dessous,BAN,47.13369,5.875613
250010041-6,6,Rue des Perrières,25320,Abbans-Dessous,BAN,47.133637,5.875274
250010041-7,7,Rue des Perrières,25320,Abbans-Dessous,BAN,47.13363,5.875883
250010041-8,8,Rue des Perrières,25320,Abbans-Dessous,BAN,47.133209,5.876859
250010041-9A,9 a,Rue des Perrières,25320,Abbans-Dessous,BAN,47.13364,5.876121
250010041-9B,9 b,Rue des Perrières,25320,Abbans-Dessous,BAN,47.133775,5.876331
250010043-10,10,Impasse Les Pièces,25320,Abbans-Dessous,BAN,47.134435,5.87645
250010043-12,12,Impasse Les Pièces,25320,Abbans-Dessous,BAN,47.134527,5.876135
250010043-2,2,Impasse Les Pièces,25320,Abbans-Dessous,BAN,47.133801,5.875237
250010043-4,4,Impasse Les Pièces,25320,Abbans-Dessous,BAN,47.134006,5.875412
250010043-6,6,Impasse Les Pièces,25320,Abbans-Dessous,BAN,47.134209,5.875644
250010043-8,8,Impasse Les Pièces,25320,Abbans-Dessous,BAN,47.134325,5.876248
250010044-1,1,Chemin de Reculoz,25320,Abbans-Dessous,OSM,47.135364,5.873957
250010044-11,11,Chemin de Reculoz,25320,Abbans-Dessous,OSM,47.132964,5.871508
250010044-13,13,Chemin de Reculoz,25320,Abbans-Dessous,OSM,47.132622,5.872341
250010044-1B,1BIS,Chemin de Reculoz,25320,Abbans-Dessous,OSM,47.134978,5.87427
250010044-1C,1 c,Chemin de Reculoz,25320,Abbans-Dessous,BAN,47.135512,5.874422
250010044-2,2,Chemin de Reculoz,25320,Abbans-Dessous,OSM,47.135853,5.874238
250010044-2A,2 a,Chemin de Reculoz,25320,Abbans-Dessous,BAN,47.135158,5.874332
250010044-2B,2BIS,Chemin de Reculoz,25320,Abbans-Dessous,OSM,47.135794,5.87404
250010044-3,3,Chemin de Reculoz,25320,Abbans-Dessous,OSM,47.135063,5.873518
250010044-4,4,Chemin de Reculoz,25320,Abbans-Dessous,OSM,47.135415,5.873866
250010044-5,5,Chemin de Reculoz,25320,Abbans-Dessous,OSM,47.134792,5.873022
250010044-5B,5BIS,Chemin de Reculoz,25320,Abbans-Dessous,OSM,47.134435,5.872637
250010044-6,6,Chemin de Reculoz,25320,Abbans-Dessous,OSM,47.13489,5.873034
250010044-7,7,Chemin de Reculoz,25320,Abbans-Dessous,BAN,47.133802,5.872037
250010044-8,8,Chemin de Reculoz,25320,Abbans-Dessous,OSM,47.134522,5.872636
250010044-9,9,Chemin de Reculoz,25320,Abbans-Dessous,OSM,47.133463,5.871848
250010044-9B,9 bis,Chemin de Reculoz,25320,Abbans-Dessous,BAN,47.133399,5.872072
250010047-1,1,Impasse de Sombaval,25320,Abbans-Dessous,OSM,47.130777,5.871023
250010047-2,2,Impasse de Sombaval,25320,Abbans-Dessous,OSM,47.131095,5.87135
250010047-3,3,Impasse de Sombaval,25320,Abbans-Dessous,BAN,47.131088,5.870851
250010047-4,4,Impasse de Sombaval,25320,Abbans-Dessous,BAN,47.131415,5.871089
250010047-5,5,Impasse de Sombaval,25320,Abbans-Dessous,OSM,47.131712,5.870696
250010050-1,1,Impasse Tisserand,25320,Abbans-Dessous,OSM,47.133359,5.874374
250010050-2,2,Impasse Tisserand,25320,Abbans-Dessous,OSM,47.133306,5.874387
250010050-2A,2 a,Impasse Tisserand,25320,Abbans-Dessous,BAN,47.133313,5.874366
250010050-2B,2 b,Impasse Tisserand,25320,Abbans-Dessous,BAN,47.13334,5.874313
250010050-4,4,Impasse Tisserand,25320,Abbans-Dessous,OSM,47.133176,5.874562
250010053-1,1,Impasse des Vignes Dessous,25320,Abbans-Dessous,BAN,47.132803,5.871561
250010053-3,3,Impasse des Vignes Dessous,25320,Abbans-Dessous,BAN,47.132616,5.872271
250010055-1,1,Chemin de Villars,25320,Abbans-Dessous,OSM,47.134016,5.87226
250010055-3,3,Chemin de Villars,25320,Abbans-Dessous,BAN,47.134018,5.872767
250010056-1,1,Impasse du Verger,25320,Abbans-Dessous,BAN,47.133772,5.872709
250010056-3,3,Impasse du Verger,25320,Abbans-Dessous,BAN,47.133871,5.872389
25001b1zz-1,1,Impasse des Vignier,25320,Abbans-Dessous,BAN,47.133438,5.872019
25001b3zz-1,1,Moulin de NEVOUI,25320,Abbans-Dessous,BAN,47.140642,5.883993
250020002-1,1,Rue Albert 1er,25440,Abbans-Dessus,OSM,47.122537,5.881965
250020002-2,2,Rue Albert 1er,25440,Abbans-Dessus,OSM,47.122699,5.882311
250020002-2A,2 a,Rue Albert 1er,25440,Abbans-Dessus,BAN,47.122696,5.882301
250020002-2B,2BIS,Rue Albert 1er,25440,Abbans-Dessus,OSM,47.122557,5.882331
250020002-3,3,Rue Albert 1er,25440,Abbans-Dessus,OSM,47.122665,5.881871
250020002-4,4,Rue Albert 1er,25440,Abbans-Dessus,OSM,47.122845,5.882271
250020002-5,5,Rue Albert 1er,25440,Abbans-Dessus,OSM,47.122776,5.881989
250020002-7,7,Rue Albert 1er,25440,Abbans-Dessus,OSM,47.122937,5.88206
250020002-8,8,Rue Albert 1er,25440,Abbans-Dessus,OSM,47.12305,5.882183
250020003-1,1,Rue de Bellevue,25440,Abbans-Dessus,OSM,47.115252,5.878009
250020003-11,11,Rue de Bellevue,25440,Abbans-Dessus,BAN,47.116641,5.87858
250020003-13,13,Rue de Bellevue,25440,Abbans-Dessus,OSM,47.116938,5.878063
250020003-15,15,Rue de Bellevue,25440,Abbans-Dessus,OSM,47.116937,5.878334
250020003-17,17,Rue de Bellevue,25440,Abbans-Dessus,BAN,47.116914,5.878797
250020003-19,19,Rue de Bellevue,25440,Abbans-Dessus,BAN,47.116897,5.878956
250020003-3,3,Rue de Bellevue,25440,Abbans-Dessus,OSM,47.115631,5.877914
250020003-5,5,Rue de Bellevue,25440,Abbans-Dessus,OSM,47.116128,5.877961
